,Argentina,Australia,Brazil,Canada,Chile,China,Colombia,Congo,Finland,France,Germany,India,Indonesia,Iran,Japan,Kazakhstan,Malaysia,Mexico,Norway,Peru,Philippines,Portugal,Russia,Saudi arabia,South Africa,South korea,Turkey,Ukraine,United Arab Emirates,United States
Germany,12043.89309,14488.43976,9138.359447,6415.520185,12156.68543,7361.705238,9191.483737,6133.409445,1629.300052,806.1396036,0,6595.821633,11433.89226,4114.089051,9079.823085,3983.066113,9742.576151,9633.841109,1494.760964,10285.46458,10402.21619,1926.521118,4932.234505,3918.109685,8973.790888,8521.287602,2339.038906,1489.469201,4778.362627,7909.231865
India,16230.85358,7993.868822,14744.2415,10738.93081,16884.84876,2917.357463,15762.76102,6583.470379,5977.682819,7245.673394,6595.821633,0,5070.157724,2632.217852,5984.339616,3046.772528,3214.53852,15375.59199,6694.494542,16726.91425,4779.540702,8197.394076,4906.844662,3701.87292,8074.156289,4952.485952,4525.623896,5108.43632,2529.166336,13125.12282
Indonesia,15844.55446,3059.997353,18287.15145,12455.67541,16092.65412,4362.107243,18823.25385,10456.22427,10349.35187,12172.18055,11433.89226,5070.157724,0,7699.396804,4857.635125,7468.689831,1904.896441,15587.5224,11029.9269,18254.85311,1767.6391,13206.15117,7631.683343,8688.383518,10165.41099,4448.774423,9576.3056,9972.80494,7498.641535,14358.62976
Iran,14508.4265,10610.22659,12287.25541,9497.369831,14980.54806,4626.480213,13155.2306,5103.728004,3947.39237,4683.545739,4114.089051,2632.217852,7699.396804,0,7511.354333,1999.541061,5844.044356,13602.09451,4595.931177,14096.98229,7222.421951,5581.688776,4608.141863,1418.9402,7485.93766,6552.755862,1903.374736,2686.29241,959.936546,11583.50976
Japan,17835.92798,6806.89867,16843.00388,7604.430485,17170.42316,3084.018775,14408.19962,12466.33246,7481.040284,9858.414594,9079.823085,5984.339616,4857.635125,7511.354333,0,5881.13309,5176.452165,11301.10315,7903.826403,15230.04957,3112.606461,10928.82721,4149.8833,8930.291072,13917.10404,1032.158578,8612.529889,8139.520029,8059.117104,9584.571561
Kazakhstan,15817.0702,10528.62725,13067.59161,7892.21256,16067.55522,3459.482541,13025.75714,7025.562363,2996.108215,4755.995037,3983.066113,3046.772528,7468.689831,1999.541061,5881.13309,0,5887.451346,12394.60991,3715.22115,14194.58011,6457.770969,5852.097665,2609.086082,3282.507712,9485.341448,5037.908624,2743.609943,2589.058771,2902.574566,10187.59843
Malaysia,16391.07195,4785.801501,17254.3838,12272.59568,16921.46333,3381.095856,18912.95184,8764.655454,8871.427092,10432.02392,9742.576151,3214.53852,1904.896441,5844.044356,5176.452165,5887.451346,0,16476.63705,9584.443827,19630.0825,2425.207611,11409.18014,6680.898268,6785.617441,9025.083388,4399.822964,7740.16236,8255.896896,5596.924257,14574.5933
Mexico,7023.441697,14473.74429,6017.50548,4675.63532,6395.677904,13466.19103,3314.513855,13576.59531,9682.110066,9269.185661,9633.841109,15375.59199,15587.5224,13602.09451,11301.10315,12394.60991,16476.63705,0,9011.2164,3929.028975,14216.12488,8740.291921,10566.60582,13520.01853,14305.81831,12095.84036,11972.24938,10946.72177,14392.40781,2259.4641
Norway,12857.46982,14033.85429,9876.808845,5192.610774,12818.20381,6711.195732,9329.430395,7561.483742,720.163567,2085.349546,1494.760964,6694.494542,11029.9269,4595.931177,7903.826403,3715.22115,9584.443827,9011.2164,0,10526.72557,9711.033341,3051.757678,3801.070078,4859.27861,10419.12929,7494.69972,3232.790194,2044.966089,5445.386012,7021.080688
Peru,3281.298673,15254.44979,2434.300644,8058.759069,2782.810356,16889.00525,1236.055851,10957.46293,11232.97464,9573.578971,10285.46458,16726.91425,18254.85311,14096.98229,15230.04957,14194.58011,19630.0825,3929.028975,10526.72557,0,17978.43854,8566.863625,13561.99255,13089.24202,10618.75303,15987.37277,12215.20101,11764.49971,14279.9852,5788.111722
Philippines,17422.92337,4352.004099,19508.63831,10693.06419,17463.47565,3043.903769,17476.53461,11057.28357,9087.087518,11195.35315,10402.21619,4779.540702,1767.6391,7222.421951,3112.606461,6457.770969,2425.207611,14216.12488,9711.033341,17978.43854,0,12304.23777,6078.145576,8458.488758,11433.4694,2692.443777,8943.873089,9046.606154,7304.628746,12682.61356
Portugal,10117.77646,16190.47782,7228.701277,6727.659622,10246.34687,9272.883689,7573.80655,5740.900099,3454.245138,1120.741182,1926.521118,8197.394076,13206.15117,5581.688776,10928.82721,5852.097665,11409.18014,8740.291921,3051.757678,8566.863625,12304.23777,0,6785.818434,4916.017776,8321.737353,10427.49445,3678.340074,3271.377133,6010.251235,7511.108715
Russia,16503.85068,10419.39381,13563.84459,5891.431955,16266.36365,3337.861212,12335.51014,9545.860331,3332.926584,5708.569092,4932.234505,4906.844662,7631.683343,4608.141863,4149.8833,2609.086082,6680.898268,10566.60582,3801.070078,13561.99255,6078.145576,6785.818434,0,5833.748915,12092.2901,3696.224232,4894.996487,4132.349099,5502.813867,8313.428774
Saudi arabia,13107.36424,11389.43993,11058.13129,10030.77358,13607.72523,6018.383508,12318.39047,3743.235836,4351.758808,4255.032193,3918.109685,3701.87292,8688.383518,1418.9402,8930.291072,3282.507712,6785.617441,13520.01853,4859.27861,13089.24202,8458.488758,4916.017776,5833.748915,0,6303.807072,7968.616909,1634.43298,2816.693075,1190.754737,11804.62863
South Africa,8236.039056,10452.59276,8322.492794,15035.50161,8924.443149,10967.51398,11003.37756,2861.955049,10205.16914,8670.232492,8973.790888,8074.156289,10165.41099,7485.93766,13917.10404,9485.341448,9025.083388,14305.81831,10419.12929,10618.75303,11433.4694,8321.737353,12092.2901,6303.807072,0,12920.4854,7573.632409,8695.129848,6619.154052,14936.0385
South korea,18867.47237,6837.931052,17088.90218,8064.06938,18194.17394,2054.273363,15016.87107,11448.00746,6985.528442,9321.245072,8521.287602,4952.485952,4448.774423,6552.755862,1032.158578,5037.908624,4399.822964,12095.84036,7494.69972,15987.37277,2692.443777,10427.49445,3696.224232,7968.616909,12920.4854,0,7781.200411,7436.529143,7056.829465,10219.34474
Turkey,13115.22071,12513.08167,10565.90143,8419.447628,13454.25351,6097.427799,11252.04819,4781.608256,2768.281556,2809.950487,2339.038906,4525.623896,9576.3056,1903.374736,8612.529889,2743.609943,7740.16236,11972.24938,3232.790194,12215.20101,8943.873089,3678.340074,4894.996487,1634.43298,7573.632409,7781.200411,0,1205.255208,2447.107951,10177.26024
Ukraine,13283.59135,13016.39212,10478.62465,7218.669619,13484.12781,6039.250119,10680.4468,5857.665883,1566.032784,2199.825802,1489.469201,5108.43632,9972.80494,2686.29241,8139.520029,2589.058771,8255.896896,10946.72177,2044.966089,11764.49971,9046.606154,3271.377133,4132.349099,2816.693075,8695.129848,7436.529143,1205.255208,0,3452.087558,9044.450602
United Arab Emirates,14074.22161,10239.97432,12216.61023,10437.06446,14630.33457,5037.824916,13491.98627,4426.038043,4830.107051,5241.154171,4778.362627,2529.166336,7498.641535,959.936546,8059.117104,2902.574566,5596.924257,14392.40781,5445.386012,14279.9852,7304.628746,6010.251235,5502.813867,1190.754737,6619.154052,7056.829465,2447.107951,3452.087558,0,12464.0286
United States,9046.12002,14654.08623,7382.93636,2423.609651,8472.51532,11323.51819,4826.341634,13100.14709,7639.451447,7734.861746,7909.231865,13125.12282,14358.62976,11583.50976,9584.571561,10187.59843,14574.5933,2259.4641,7021.080688,5788.111722,12682.61356,7511.108715,8313.428774,11804.62863,14936.0385,10219.34474,10177.26024,9044.450602,12464.0286,0
